评分,创建时间,评论内容
5,2023-05-29 10:19:32,外形外观：收到了 很满意，音质非常好。看电影时像是整个房间有立体声，拍照效果非常满意，很清晰，电池很耐用，对我这种待机时间将近20小时的人，屏幕音效：屏幕音效：屏幕音效 很快，人脸秒接锁，游戏运行流畅，屏幕养眼，电池也还好，中度使用一天没问题，充电速度很快，语音助手和智能音箱一样双手没空的时候也能进行很多操作，手机重量因人而异吧，正我老婆不觉得重，渐变红颜色很好看。曾经的旗舰机现在能以这个价格买下来真的是太划算了。拍照效果：拍照效果很好的，真的很清楚，真的非常给力，设计非常满意，运行速度：，手机运行质量很好，设计也很合理，用起来很舒服，按键是分开的，很好按，而且不容易按错位，通话声音很大的。。待机时间：待机时间：待机时间很长， 外观和手感握持都很好，像素高，拍照清晰，通话质量不错，上网非常流外观和手感握持都很好，像素高，拍照清楚，顺丰快递也快，不错，值得推荐给家！其他特色：手感舒适，华为老品牌手机就是值得信赖，店家服务也比较周到，送的配件很齐全，必须好评，
5,2023-05-29 10:05:11,手机机身颜色很高级，清新的绿色还带细闪，真的很棒，老妈很喜欢呢！外观也不错，屏幕很大，摄像不错。满足臭美老年人的需求啦！
5,2023-06-13 07:56:50,收到货，第一时间拆包装，质量非常好，与卖家描述一致，完全超出我的期望值，包装很仔细、严实，总的来说这次是很满意的一次购物，感谢卖家。正品，质量好，价格低，性比价高，物美价廉，物有所值，朋友看了都说好。客服服务热情都到。物流很给力
5,2023-06-02 11:06:09,实物与描述的一样，质量相当好，卖家态度也好，有问必答，发货速度杠杠的，值得购买哦收到货后试了一下，很不错，质量很好，值得拥有！五星好评！?非常漂亮，做工精细，颜值担当，非常方便，?喜欢的朋友可以下手！大小合适，做工精良，出口品质，最满意的一次淘货，很喜欢，下次会再来！上次买到这么好用的东西还是上次！
5,2023-06-09 18:13:49,物流很快，头天下单，第二天就到了。包装完好。与苹果设置基本相同，所以操作不费力。有手机壳。屏幕上的应用小图像设计得不是很清爽，不过不影响使用。运行速度可以，拍照感觉一般，但是够用
5,2023-06-10 16:57:59,京东买手机就是快，第二天准能送到，不影响使用，给老人用的话这个手机就足够了，字体的大小调整起来也很方便，充电续航的能力都能满足需求
5,2023-05-19 08:47:28,给爸爸买的，用了一段时间了，老人用方便，买的大容量的，拍照，唱歌，@，内存足够啦。爸爸说还是新手机好用，某果的老人用不明白，哈哈。回头给妈妈也换个，一吃支持国货，棒棒哒。
4,2023-06-02 13:35:56,是买给我老公开工用的。用了几天才评价，不打游戏，没什么追求，这手机很好了外形外观：比较看好屏幕音效：清晰度不错拍照效果：还行，价格放那运行速度：开机挺快的
4,2023-06-01 07:49:56,给家里老人买的，不用装太多APP，也不玩游戏什么的。基本功能使用，希望不卡顿。别便宜没好货就行。颜值还可以
5,2023-06-05 21:32:13,这个价格这个产品这个品牌还能说什么呢，真的应该可以说好啊好啊好啊。就是有点卡顿，不过这手机用上一年你算是回本了吧。拍照效果还是不错的
5,2023-05-20 11:40:34,老妈的手机突然就坏了，第一个想到的就是在京东来选一款适合老妈的手机，买电子产品第一个想到的就是京东，毕竟质量比较过关外形外观：挺好看的
5,2023-06-09 14:45:53,买给岳父大人用的，屏幕大小合适，电池容量大，价位也合适，而且是华为鸿蒙系统，一定要支持华为，加油?
5,2023-06-01 09:19:51,给老爸买的，手机大气，屏幕清晰，功能齐全，家里人的手机都是在京东上买的，购买方便，质量放心，物流快捷，给京东点赞！
5,2023-06-02 15:42:29,外形外观：外形时尚，外观大方屏幕音效：屏幕显示很好，音效很棒拍照效果：拍照效果出众运行速度：6GB RAM+128GB ROM组合，足够日常使用，运行相当流畅，反应迅速待机时间：待机时间还有待考究其他特色：至于其他特色嘛，使用鸿蒙系统算是一个特色吧，就是不知道什么处理器，从系统里都看不出来是什么处理器，网上说好像是什么什么国际代工的，叫什么处理器来着，记不清楚了
5,2023-06-08 19:21:10,这款华为品牌的手机，应该是性价比比较高的一款手机了，买来给老人用真的是再适合不过了，华为品牌的手机之前也用过，还是不错的，支持华为
5,2023-06-02 20:01:47,2020年8月份时买了华为畅享 10e，机子现在有点卡，昨天下单买了这款畅享 50z 智能手机，时隔将近三年，机子升级不少，价格还是差不多，当然挺满意哦！
5,2023-06-05 19:29:04,给妈妈买的这款手机足够用，颜值比较高，就是内存小一些，不过父母用的也不多，足够用，唯一的缺点就是电池容易发热，不用俩小时电池就开始发热了
5,2023-06-13 08:02:33,这个手机说实话，对得起这个价格了，功能挺完整，就是有点卡顿，外形设计的挺好的，挺大屏幕，适合中老年人用，拍照效果一般，运行真的是，买完没多少天降价了，还不能价保
5,2023-06-07 22:24:52,手机的内屏幕黑了一个点，现在变大了，所以就赶紧买一台新手机，旧手机用了5年了，再秀不划算还是直接买台新的好，所以就买了这款，比较便宜
5,2023-05-31 22:50:39,手机上午购买了，下午就收到了，京东自营就是快，华为手机国产品牌，还是值得信赖的，用了好几个华为手机?了
3,2023-03-02 20:03:40,还可以吧用后再来评价
5,2023-05-23 10:45:03,手机很有质感，有配套的透明手机壳，用起来很顺手，系统用起来也流畅，目前五星好评。华为加油！国产加油！
